Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Normalized Slip Rate,Unnormlized Slip Rate,Rupture Rate Minimization,Normalized MFD Equality
637916829,2757279,5541304,211,207,7.3215027E8,7.3215027E8,0.0,0.0,7958234.0,2.0274958E7,0.0,7.0391712E8
645024919,2788271,5580521,215,207,7.3215014E8,7.3215014E8,0.0,0.0,7958479.5,2.0274072E7,0.0,7.0391763E8
652860917,2819267,5621398,221,207,7.3215002E8,7.3215002E8,0.0,0.0,7958200.0,2.0274404E7,0.0,7.0391738E8
660006098,2850279,5660931,226,209,7.3214989E8,7.3214989E8,0.0,0.0,7958721.5,2.0274954E7,0.0,7.0391622E8
666963803,2881271,5701385,229,208,7.3214976E8,7.3214976E8,0.0,0.0,7958769.0,2.027496E7,0.0,7.0391603E8
673979940,2912263,5740452,230,208,7.3214963E8,7.3214963E8,0.0,0.0,7958838.0,2.027461E7,0.0,7.0391616E8
681218208,2943215,5779855,236,207,7.321495E8,7.321495E8,0.0,0.0,7958996.5,2.0275066E7,0.0,7.0391546E8
688303143,2974231,5818668,239,209,7.3214938E8,7.3214938E8,0.0,0.0,7959058.0,2.0274984E7,0.0,7.0391533E8
695459093,3005227,5860143,245,206,7.3214925E8,7.3214925E8,0.0,0.0,7958801.5,2.0275278E7,0.0,7.039152E8
702345905,3036243,5897726,247,207,7.3214918E8,7.3214918E8,0.0,0.0,7959102.0,2.0275784E7,0.0,7.039143E8
709291660,3067235,5934642,251,206,7.3214906E8,7.3214906E8,0.0,0.0,7958934.5,2.0275272E7,0.0,7.0391488E8
716531719,3098247,5973268,259,206,7.3214899E8,7.3214899E8,0.0,0.0,7959133.0,2.0275662E7,0.0,7.0391418E8
723779744,3129239,6011277,265,206,7.3214886E8,7.3214886E8,0.0,0.0,7959119.0,2.0275358E7,0.0,7.0391443E8
730728680,3160223,6051361,270,207,7.321488E8,7.321488E8,0.0,0.0,7959089.0,2.0275406E7,0.0,7.039143E8
737642084,3191203,6089823,275,206,7.3214874E8,7.3214874E8,0.0,0.0,7959549.0,2.0275312E7,0.0,7.0391386E8
744188209,3222175,6126557,276,206,7.3214867E8,7.3214867E8,0.0,0.0,7959166.5,2.0275538E7,0.0,7.0391392E8
750909953,3253171,6164004,280,207,7.3214854E8,7.3214854E8,0.0,0.0,7959614.0,2.0275748E7,0.0,7.0391322E8
758133822,3284195,6201686,291,206,7.3214848E8,7.3214848E8,0.0,0.0,7959471.0,2.0275776E7,0.0,7.0391328E8
764569823,3315206,6236333,295,208,7.3214842E8,7.3214842E8,0.0,0.0,7959552.0,2.0275552E7,0.0,7.0391334E8
772506538,3346211,6274420,303,207,7.3214835E8,7.3214835E8,0.0,0.0,7959642.0,2.027589E7,0.0,7.0391283E8
779726379,3377165,6313155,308,205,7.3214829E8,7.3214829E8,0.0,0.0,7959350.0,2.027595E7,0.0,7.0391302E8
786666315,3408059,6349957,316,207,7.3214822E8,7.3214822E8,0.0,0.0,7959220.5,2.0275996E7,0.0,7.0391302E8
794275902,3439051,6387331,321,207,7.3214816E8,7.3214816E8,0.0,0.0,7959224.0,2.0275438E7,0.0,7.0391354E8
801221029,3470071,6424823,324,206,7.3214816E8,7.3214816E8,0.0,0.0,7959609.0,2.0275578E7,0.0,7.0391296E8
807899178,3501047,6459544,335,205,7.321481E8,7.321481E8,0.0,0.0,7959276.0,2.02754E7,0.0,7.0391341E8
815306377,3532027,6496345,337,205,7.3214803E8,7.3214803E8,0.0,0.0,7959340.0,2.0275524E7,0.0,7.0391315E8
822911513,3562975,6531298,341,206,7.3214797E8,7.3214797E8,0.0,0.0,7959284.0,2.0274836E7,0.0,7.0391386E8
829784599,3593955,6566301,350,206,7.3214797E8,7.3214797E8,0.0,0.0,7959258.5,2.027517E7,0.0,7.0391354E8
837362182,3624959,6602675,355,205,7.321479E8,7.321479E8,0.0,0.0,7959270.0,2.0274946E7,0.0,7.0391366E8
