Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
1473238812,3486069,13926411,820075,2257,1579.721,1579.721,0.0,0.0,885.53235,473.85867,4.691557,0.19792266,215.44043
1485448296,3517275,13976127,822168,2226,1579.7186,1579.7186,0.0,0.0,885.45746,473.8568,4.677107,0.1979143,215.52934
1500375683,3548457,14025871,824210,2243,1579.6473,1579.6473,0.0,0.0,885.3889,473.8083,4.673242,0.19811916,215.57878
1512713238,3579556,14077161,826284,2185,1579.521,1579.521,0.0,0.0,885.388,473.71042,4.675471,0.19810593,215.54904
1527388500,3610696,14129500,828482,2196,1579.3276,1579.3276,0.0,0.0,885.37354,473.50903,4.687509,0.19803393,215.5595
1540855999,3641915,14181329,830630,2215,1579.076,1579.076,0.0,0.0,885.298,473.3844,4.6783905,0.19816233,215.51709
1554909729,3673103,14233494,832783,2248,1578.815,1578.815,0.0,0.0,885.111,473.38852,4.66586,0.19822097,215.45128
1567653935,3704311,14283340,834837,2233,1578.7354,1578.7354,0.0,0.0,885.1952,473.18503,4.6687355,0.1983053,215.48808
1580725457,3735284,14335084,836943,2243,1578.6019,1578.6019,0.0,0.0,885.1416,473.1464,4.661829,0.1983404,215.45375
1594900602,3766451,14385941,839024,2197,1578.4834,1578.4834,0.0,0.0,885.1021,473.02164,4.673997,0.19833063,215.48734
1609207387,3797655,14435108,841069,2193,1578.3938,1578.3938,0.0,0.0,884.98065,473.0094,4.6623383,0.19823678,215.54317
1621707315,3828799,14484037,843087,2145,1578.2485,1578.2485,0.0,0.0,884.9227,473.05008,4.6608543,0.19816957,215.41675
1637888784,3859985,14536608,845234,2159,1578.1664,1578.1664,0.0,0.0,884.8437,473.0578,4.6533628,0.19815409,215.41333
1650284058,3891204,14584898,847130,2174,1578.1846,1578.1846,0.0,0.0,884.7954,473.0115,4.66846,0.19805065,215.51118
1663279107,3922393,14631441,849078,2184,1578.0782,1578.0782,0.0,0.0,884.68384,472.975,4.6618114,0.19785382,215.55974
1676683885,3953551,14678614,851022,2169,1578.0414,1578.0414,0.0,0.0,884.6786,472.89935,4.6567154,0.19789283,215.60889
1690913514,3984732,14732700,853289,2150,1577.9208,1577.9208,0.0,0.0,884.7548,472.73596,4.6536684,0.1980305,215.57828
1706348387,4015891,14781768,855353,2131,1577.783,1577.783,0.0,0.0,884.57367,472.70963,4.6549892,0.19809619,215.64659
1719297671,4047048,14829988,857349,2138,1577.6456,1577.6456,0.0,0.0,884.4738,472.6831,4.654852,0.1980484,215.6358
1732691046,4078227,14874590,859276,2159,1577.5292,1577.5292,0.0,0.0,884.4449,472.62466,4.6509447,0.19803573,215.61073
1744516091,4109328,14924427,861368,2112,1577.4178,1577.4178,0.0,0.0,884.4679,472.51117,4.648152,0.1980538,215.59256
1758581379,4140492,14976130,863538,2123,1577.3127,1577.3127,0.0,0.0,884.3133,472.50296,4.6386213,0.19798762,215.65993
1771795946,4171720,15023998,865546,2096,1577.2822,1577.2822,0.0,0.0,884.34314,472.3686,4.6509533,0.19809712,215.72142
1786334646,4202875,15072931,867583,2144,1577.2533,1577.2533,0.0,0.0,884.261,472.37076,4.638062,0.1979008,215.7856
1802571799,4234051,15123493,869645,2070,1577.0575,1577.0575,0.0,0.0,884.134,472.3345,4.640177,0.1978512,215.75099
1816554978,4265216,15171870,871662,2048,1577.0256,1577.0256,0.0,0.0,884.1557,472.27423,4.6360354,0.19768988,215.76196
1830780791,4296356,15217998,873618,2081,1576.8208,1576.8208,0.0,0.0,884.1107,472.21176,4.6178946,0.19746453,215.68295
1845523960,4327464,15262825,875458,2044,1576.8657,1576.8657,0.0,0.0,884.0346,472.25702,4.6084948,0.19753692,215.76802
1859195418,4358669,15311741,877532,2094,1576.8121,1576.8121,0.0,0.0,884.08344,472.0819,4.622969,0.19766693,215.82614
1873455825,4389868,15360375,879543,2074,1576.6195,1576.6195,0.0,0.0,884.026,471.99744,4.6000752,0.19744897,215.79857
1886764844,4421014,15405790,881367,2028,1576.5464,1576.5464,0.0,0.0,883.8906,472.0033,4.590301,0.19755797,215.86458
1901318822,4452151,15451456,883265,2033,1576.575,1576.575,0.0,0.0,883.9265,472.028,4.594032,0.19766562,215.82877
1916965628,4483363,15501228,885340,2049,1576.4426,1576.4426,0.0,0.0,883.9117,471.915,4.5808606,0.1976147,215.8374
1930211420,4514555,15546444,887263,2053,1576.3596,1576.3596,0.0,0.0,883.95,471.739,4.5835695,0.19748917,215.88959
1941928048,4545719,15588595,889000,2052,1576.2156,1576.2156,0.0,0.0,883.822,471.70056,4.5832744,0.19746038,215.91217
1953897886,4576880,15632268,890809,2034,1576.131,1576.131,0.0,0.0,883.7172,471.71863,4.587861,0.19743939,215.90979
1968768668,4608099,15682107,892830,2017,1576.0184,1576.0184,0.0,0.0,883.75275,471.57397,4.576014,0.19748776,215.91824
1982156080,4639231,15727777,894755,1999,1575.9235,1575.9235,0.0,0.0,883.6905,471.51312,4.571605,0.19736695,215.95085
1996087340,4670399,15770294,896594,2019,1575.8363,1575.8363,0.0,0.0,883.7043,471.37628,4.5804806,0.19742265,215.9779
2009377660,4701592,15815212,898436,2036,1575.7465,1575.7465,0.0,0.0,883.6272,471.34842,4.5881224,0.19742776,215.98524
2023854344,4732720,15865750,900600,2016,1575.6304,1575.6304,0.0,0.0,883.54974,471.32666,4.593658,0.1974515,215.96286
2037649894,4763836,15914242,902618,2008,1575.5488,1575.5488,0.0,0.0,883.5984,471.19818,4.5770507,0.19738193,215.97778
2050808993,4795044,15960191,904558,1972,1575.423,1575.423,0.0,0.0,883.43005,471.19684,4.5852914,0.19742505,216.01337
2062854571,4826156,16003067,906326,2017,1575.3407,1575.3407,0.0,0.0,883.2986,471.26746,4.5872607,0.19752423,215.98987
2077614054,4857335,16048112,908133,2004,1575.2732,1575.2732,0.0,0.0,883.3715,471.21393,4.574685,0.19759952,215.91544
2091975589,4888536,16093741,910047,1962,1575.2306,1575.2306,0.0,0.0,883.3247,471.17752,4.5770593,0.19756687,215.95372
2105707924,4919719,16140395,911986,1993,1575.1124,1575.1124,0.0,0.0,883.26746,471.14633,4.5740767,0.19743592,215.92714
2119852427,4950908,16184388,913863,1982,1575.055,1575.055,0.0,0.0,883.20087,471.17593,4.566112,0.19748911,215.9147
2133148996,4982059,16230146,915759,1985,1575.02,1575.02,0.0,0.0,883.2385,471.12082,4.571295,0.19745561,215.89192
2146341531,5013268,16276465,917788,1976,1574.9452,1574.9452,0.0,0.0,883.2439,470.9901,4.557301,0.19736832,215.95648
2159868684,5044487,16318668,919533,1998,1574.8872,1574.8872,0.0,0.0,883.10443,471.03223,4.550206,0.19730102,216.003
2173244944,5075715,16361571,921289,1961,1574.8424,1574.8424,0.0,0.0,883.14246,470.9452,4.5550838,0.19737963,216.00226
2188017053,5106923,16405897,923172,1950,1574.6726,1574.6726,0.0,0.0,883.07886,470.82465,4.553693,0.19751632,216.01793
2200859265,5138112,16448384,924978,1960,1574.5841,1574.5841,0.0,0.0,883.00287,470.77704,4.552531,0.19748262,216.05421
2214488713,5169323,16491300,926806,1940,1574.5101,1574.5101,0.0,0.0,882.91223,470.7529,4.5566225,0.1975507,216.09087
2225975218,5200504,16530235,928420,1940,1574.4755,1574.4755,0.0,0.0,882.96796,470.64264,4.5418167,0.19762847,216.12543
2238591020,5231735,16571013,930124,1966,1574.3966,1574.3966,0.0,0.0,882.9099,470.61298,4.5479617,0.19752459,216.12823
2251966867,5262951,16613234,931904,1935,1574.334,1574.334,0.0,0.0,882.9664,470.4933,4.552808,0.19753103,216.12404
2265203368,5294147,16655763,933755,1905,1574.2734,1574.2734,0.0,0.0,882.79395,470.58463,4.551597,0.19751371,216.1457
2280122500,5325373,16697743,935590,1875,1574.2031,1574.2031,0.0,0.0,882.7773,470.52484,4.5529137,0.19753107,216.15051
