Rupture Index,Average Slip (m)
206,18.65151738855818
207,18.818443913057326
208,18.983858003414568
209,19.14780496676011
210,19.310315241605522
211,19.471423741393174
212,19.631157560820057
213,19.78955589685934
214,19.94666317383161
215,20.102505495082752
216,20.257097173994744
217,20.410481973458573
218,20.5626966223504
219,20.713774229033955
220,20.863735724834267
221,21.01260286487809
222,21.16039610932912
223,21.307136329593572
224,21.452850360998678
225,21.597558676173414
226,21.741280013865026
227,21.912522184727933
228,22.082400527788632
229,22.25094403743855
230,22.41820363595129
231,22.584146257517023
232,22.7487097174258
233,22.8848354649571
234,23.020212427285042
235,23.154863473264562
236,23.288756459383368
237,23.342030060110037
238,11.328001525728508
239,11.763545533206434
240,12.18348488317091
241,12.589560744523284
242,12.934449246293262
243,13.270288056903167
244,13.551377611500502
245,13.826721924630368
246,14.096751123577196
247,14.36167013738818
248,14.621599936017082
249,14.876893266361812
250,15.127934545527067
251,15.374858045613506
252,15.617854212568501
253,15.857095354441064
254,16.092727261195783
255,16.324910596389323
256,16.55380757666916
257,16.74211172255464
258,16.928325511195897
259,17.1125008260476
260,17.294691473893725
261,17.474929000507718
262,17.653277971281472
263,17.829809355260398
264,18.004585534632483
265,18.177646332349617
266,18.34904230651247
267,18.518830500401613
268,18.68705385593231
269,18.85374388869243
270,19.018936698655875
271,19.18266620559831
272,19.344966150115376
273,19.50587821459731
274,19.66542966332667
275,19.823652309251354
276,19.980570432281947
277,20.136220337712544
278,20.29064360605875
279,20.44386393646177
280,20.595893539616345
281,20.746773688544792
282,20.89653884747452
283,21.045220017114186
284,21.192836301419966
285,21.339407691290205
286,21.48495297471488
287,21.629491412482196
288,21.773048206152325
289,21.91564235281201
290,22.05729119825372
291,22.226098761294583
292,22.393598416035463
293,22.559817082929424
294,22.724803405976765
295,22.888523261402813
296,23.050913822544825
297,23.18526532007453
298,23.318898202208022
299,23.45183436540838
300,23.58404141653611
301,23.636649492505995
302,12.489473602636144
303,12.885910332756193
304,13.223071554704559
305,13.551759586422612
306,13.827128295942083
307,14.097087640105359
308,14.36203439760634
309,14.622147859131136
310,14.877527438466604
311,15.128502582768688
312,15.375436251520386
313,15.618447279826471
314,15.85771121375778
315,16.09338705993937
316,16.32560883868556
317,16.554526224594177
318,16.78029133048029
319,16.966081934847917
320,17.149864003944288
321,17.33168528231823
322,17.511595668452934
323,17.689623306794477
324,17.865829166052944
325,18.040280757514623
326,18.21303730722258
327,18.384135916300355
328,18.55362445197036
329,18.721557343962722
330,18.887975212964122
331,19.052907494915
332,19.216388268947224
333,19.378449558321226
334,19.5391233032312
335,19.698449396341218
336,19.856453538717933
337,20.013166010683285
338,20.16860970170956
339,20.32281947966349
340,20.47583550631525
341,20.627680286727102
342,20.77836499065708
343,20.92792964222144
344,21.07640757035408
345,21.223828718755406
346,21.37021127796154
347,21.515574355277124
348,21.6599359003944
349,21.80331436529381
350,21.945734127769803
351,22.08721344194751
352,22.22776895185429
353,22.39529154396053
354,22.561535117014827
355,22.72652554316008
356,22.89031030644589
357,23.052854764966167
358,23.21409579174692
359,23.34750828345953
360,23.480217804825013
361,23.6122457554521
362,23.743559627182215
