Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (52 parents),Rupture Rate Minimization,Uncertain MFD Equality
1246808495,2980837,8096319,376248,1335,2745.0662,2745.0662,0.0,0.0,1557.7032,777.5531,17.205582,0.49332052,392.11087
1259717670,3012078,8129369,377319,1353,2744.7686,2744.7686,0.0,0.0,1557.5746,777.3607,17.174435,0.49311107,392.16556
1272435650,3043182,8163694,378433,1353,2744.537,2744.537,0.0,0.0,1557.3306,777.2834,17.164976,0.4923494,392.26575
1285088379,3074335,8198645,379560,1316,2744.3223,2744.3223,0.0,0.0,1557.3169,777.0344,17.154787,0.4924074,392.32385
1298151611,3105390,8230562,380579,1352,2744.1086,2744.1086,0.0,0.0,1557.4457,776.73035,17.107952,0.49378255,392.33075
1312958028,3137278,8263070,381655,1318,2743.7917,2743.7917,0.0,0.0,1557.5089,776.3842,17.112385,0.4936943,392.29254
1325325915,3168486,8296196,382780,1355,2743.371,2743.371,0.0,0.0,1557.2842,776.3013,17.086182,0.49384356,392.2055
1337557804,3199725,8328310,383840,1322,2742.9524,2742.9524,0.0,0.0,1557.1255,776.14996,17.10788,0.49435163,392.07465
1351310980,3230783,8360691,384931,1331,2742.644,2742.644,0.0,0.0,1557.0531,775.7988,17.133327,0.49454737,392.16412
1365048995,3261985,8393018,385930,1320,2742.3955,2742.3955,0.0,0.0,1556.9197,775.5915,17.128832,0.49497062,392.26053
1379396497,3293111,8427359,387046,1315,2742.0955,2742.0955,0.0,0.0,1556.8942,775.379,17.111526,0.4948883,392.21582
1392789929,3324334,8458723,388096,1311,2741.8318,2741.8318,0.0,0.0,1556.7056,775.2803,17.117657,0.49546874,392.23288
1405637122,3355554,8488964,389077,1304,2741.627,2741.627,0.0,0.0,1556.6146,775.3109,17.10446,0.49556035,392.10138
1420187339,3386754,8522880,390163,1301,2741.2483,2741.2483,0.0,0.0,1556.6158,775.0742,17.0881,0.49580187,391.97427
1434271530,3417966,8554538,391176,1294,2741.0571,2741.0571,0.0,0.0,1556.5166,774.95905,17.084572,0.49518386,392.0016
1445920348,3449151,8585094,392157,1279,2740.854,2740.854,0.0,0.0,1556.5963,774.6484,17.065897,0.49581996,392.04773
1459367466,3480285,8614612,393116,1303,2740.6135,2740.6135,0.0,0.0,1556.5381,774.4598,17.043287,0.49624828,392.07614
1471497439,3511459,8646318,394195,1290,2740.3188,2740.3188,0.0,0.0,1556.4076,774.38916,17.018778,0.49738073,392.00577
1486292584,3542638,8677494,395228,1296,2740.1729,2740.1729,0.0,0.0,1556.5052,774.17975,17.004488,0.49717566,391.9863
1497873085,3573841,8707213,396116,1288,2739.9932,2739.9932,0.0,0.0,1556.475,773.9899,16.994686,0.49761942,392.036
1511362566,3605060,8734547,397021,1268,2739.751,2739.751,0.0,0.0,1556.5062,773.78345,16.988636,0.49743596,391.97528
1523268444,3636289,8764263,397982,1264,2739.4092,2739.4092,0.0,0.0,1556.3433,773.63007,17.007393,0.49706095,391.93127
1536275948,3667412,8793930,398958,1265,2739.058,2739.058,0.0,0.0,1556.2163,773.39014,16.990591,0.4976795,391.96332
1548494978,3698603,8823486,399879,1249,2738.989,2738.989,0.0,0.0,1556.2616,773.2156,16.961273,0.49721268,392.05328
1561304224,3729802,8853629,400942,1267,2738.7307,2738.7307,0.0,0.0,1556.2925,772.92755,16.937052,0.4974208,392.0762
1575647980,3761033,8883270,401937,1242,2738.3916,2738.3916,0.0,0.0,1556.2991,772.6221,16.914032,0.49732846,392.0592
1587937308,3792253,8912689,402925,1269,2738.1426,2738.1426,0.0,0.0,1556.1504,772.4962,16.89857,0.49790964,392.0994
1600859292,3823457,8941124,403848,1241,2738.046,2738.046,0.0,0.0,1556.2596,772.2372,16.848656,0.49761236,392.20288
1613113128,3854630,8969850,404815,1252,2737.843,2737.843,0.0,0.0,1556.1807,772.0353,16.813192,0.49717337,392.31662
1626288915,3885863,9000328,405831,1229,2737.6658,2737.6658,0.0,0.0,1556.2063,771.83057,16.78401,0.49748316,392.34735
1640560333,3917078,9030496,406823,1221,2737.5083,2737.5083,0.0,0.0,1556.1522,771.6728,16.75592,0.4975395,392.43
1652684994,3948290,9058813,407843,1215,2737.3342,2737.3342,0.0,0.0,1556.0894,771.61237,16.72461,0.49757332,392.4103
1666614937,3979506,9086658,408863,1224,2737.123,2737.123,0.0,0.0,1556.062,771.4814,16.695023,0.49801394,392.3867
1681256331,4010739,9117046,409929,1208,2736.92,2736.92,0.0,0.0,1555.9962,771.2902,16.684874,0.49806768,392.45062
1693842983,4041971,9144097,410857,1214,2736.749,2736.749,0.0,0.0,1555.9194,771.28296,16.663757,0.49824393,392.38455
1706668879,4073210,9171484,411783,1229,2736.5706,2736.5706,0.0,0.0,1555.8759,771.15515,16.63307,0.4984988,392.40793
1719132336,4104426,9198802,412670,1205,2736.4697,2736.4697,0.0,0.0,1555.9453,770.94244,16.62653,0.4984851,392.45694
1733166225,4135573,9228742,413749,1208,2736.2937,2736.2937,0.0,0.0,1555.8364,770.8028,16.5916,0.49884343,392.56396
1744419616,4166782,9255416,414660,1224,2736.24,2736.24,0.0,0.0,1555.9036,770.7046,16.581268,0.4982207,392.55228
1757103390,4198017,9284216,415638,1193,2736.03,2736.03,0.0,0.0,1555.8258,770.5231,16.567017,0.4981304,392.6161
1771056768,4229337,9310799,416510,1202,2735.8472,2735.8472,0.0,0.0,1555.8699,770.3029,16.550585,0.49849433,392.62524
1783955845,4260545,9339993,417503,1209,2735.657,2735.657,0.0,0.0,1555.8839,770.1511,16.500862,0.4990038,392.62222
1796390460,4291782,9366077,418363,1219,2735.4648,2735.4648,0.0,0.0,1555.7988,770.05804,16.494312,0.49914217,392.61465
1808185999,4323025,9392178,419254,1191,2735.3293,2735.3293,0.0,0.0,1555.572,770.07227,16.48355,0.49951434,392.7021
1821943618,4354233,9421249,420253,1196,2735.3647,2735.3647,0.0,0.0,1555.8556,769.9198,16.461378,0.499693,392.62823
1834446268,4385465,9448716,421171,1193,2735.025,2735.025,0.0,0.0,1555.6687,769.80066,16.438536,0.4993323,392.6176
1847817437,4416627,9475815,422105,1191,2734.8984,2734.8984,0.0,0.0,1555.6154,769.73694,16.419462,0.4997219,392.627
1859825729,4447778,9500867,422956,1192,2734.7278,2734.7278,0.0,0.0,1555.6903,769.4932,16.39129,0.5001021,392.6528
