Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
1190854361,2889466,6089199,274690,1047,6038.3228,6038.3228,0.0,0.0,3374.458,1481.8972,16.011274,0.5750814,1165.3811
1203034743,2920613,6111961,275286,1028,6038.2246,6038.2246,0.0,0.0,3374.865,1481.653,15.995063,0.5755271,1165.1359
1215762695,2951725,6134327,275868,1051,6037.908,6037.908,0.0,0.0,3375.1956,1481.4211,15.989917,0.5764391,1164.7252
1228452593,2982809,6156971,276458,1045,6037.306,6037.306,0.0,0.0,3374.845,1481.1738,15.987172,0.57585585,1164.7246
1241704711,3013944,6182548,277139,1073,6037.151,6037.151,0.0,0.0,3375.218,1481.0404,15.965737,0.57554674,1164.351
1255408735,3045048,6205970,277748,1037,6036.5063,6036.5063,0.0,0.0,3374.8027,1480.4104,15.965317,0.5755287,1164.7522
1269289228,3076172,6227803,278313,1022,6036.4937,6036.4937,0.0,0.0,3375.0718,1480.077,15.945716,0.57590747,1164.8234
1282809883,3107304,6252259,278961,1040,6036.0234,6036.0234,0.0,0.0,3375.1082,1479.557,15.924127,0.5762052,1164.8578
1296548551,3139104,6276753,279614,1048,6035.7437,6035.7437,0.0,0.0,3375.3127,1479.449,15.900403,0.5752883,1164.5063
1310059648,3170177,6297932,280135,1045,6035.272,6035.272,0.0,0.0,3375.006,1479.2239,15.879112,0.5749024,1164.5883
1322244694,3201396,6319969,280736,1026,6035.0977,6035.0977,0.0,0.0,3374.9246,1478.9462,15.83142,0.5738119,1164.8217
1335670880,3232517,6343360,281346,1029,6035.0415,6035.0415,0.0,0.0,3375.4124,1478.9393,15.834687,0.57299614,1164.282
1348961766,3263678,6366100,281948,1023,6034.5854,6034.5854,0.0,0.0,3375.2424,1478.4703,15.847879,0.57286805,1164.452
1363794389,3294908,6388759,282537,1026,6034.236,6034.236,0.0,0.0,3375.338,1478.1643,15.846374,0.57323825,1164.314
1376699119,3326168,6412823,283139,1039,6033.921,6033.921,0.0,0.0,3375.537,1478.0242,15.833307,0.57373804,1163.9523
1389037432,3357360,6433941,283721,1051,6033.4355,6033.4355,0.0,0.0,3375.3813,1477.6703,15.823081,0.57407653,1163.9869
1402386913,3388588,6455625,284309,1040,6033.283,6033.283,0.0,0.0,3375.4272,1477.4773,15.806982,0.57393765,1163.9976
1414871719,3419776,6477329,284887,1014,6033.1787,6033.1787,0.0,0.0,3375.459,1477.6626,15.780952,0.5730617,1163.7031
1429403752,3451045,6501070,285525,1015,6032.9688,6032.9688,0.0,0.0,3375.499,1477.5477,15.79845,0.5733244,1163.55
1443741696,3482244,6523323,286163,998,6032.728,6032.728,0.0,0.0,3375.505,1477.3251,15.808948,0.57351243,1163.5159
1456035557,3513448,6544139,286702,998,6032.5864,6032.5864,0.0,0.0,3375.6145,1477.1823,15.761327,0.57347363,1163.4551
1468845669,3544679,6565014,287223,1006,6032.3154,6032.3154,0.0,0.0,3375.607,1476.8551,15.750548,0.57329243,1163.5298
1482576515,3575897,6587563,287833,997,6032.2554,6032.2554,0.0,0.0,3375.9504,1476.6018,15.73456,0.57427216,1163.3942
1495505104,3607060,6609710,288432,1022,6031.8853,6031.8853,0.0,0.0,3375.7456,1476.5397,15.7216015,0.5746067,1163.3038
1507705752,3638248,6630900,288998,1009,6031.789,6031.789,0.0,0.0,3375.8535,1476.3629,15.705221,0.5748779,1163.2926
1519004887,3669421,6651371,289547,1014,6031.674,6031.674,0.0,0.0,3375.7456,1476.1267,15.698745,0.57497644,1163.5278
1531320746,3700616,6672667,290137,994,6031.667,6031.667,0.0,0.0,3376.0298,1476.0394,15.639601,0.5750112,1163.3829
1544747578,3731736,6693872,290691,986,6031.4507,6031.4507,0.0,0.0,3376.0674,1475.7489,15.647772,0.57419777,1163.4126
1557208565,3762973,6715110,291246,983,6031.189,6031.189,0.0,0.0,3376.0107,1475.4131,15.635823,0.5732513,1163.5563
1570664889,3794224,6736725,291833,1003,6030.985,6030.985,0.0,0.0,3376.3652,1475.1313,15.630524,0.5721875,1163.2856
1583664301,3825365,6758009,292373,969,6030.6465,6030.6465,0.0,0.0,3376.387,1474.9104,15.610498,0.5723921,1163.1665
