Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
136,9.338884622496959,0.0,2.1821798772480893E11,1316079.2036900143
137,9.347701098589127,0.0,2.226932392770535E11,1345880.6475915902
138,9.35634101428727,0.0,2.2716789712204916E11,1375677.0418100602
139,9.364810756215396,0.0,2.316416816599354E11,1405467.6016363832
140,9.373116656123,0.0,2.3611447823093878E11,1435250.2930956865
141,9.381264662482911,0.0,2.4058615625575818E11,1465025.8841862043
142,9.389260461343344,0.0,2.4505662129142184E11,1494795.4155202655
143,9.397109886678944,0.0,2.49526040622344E11,1524561.6589757379
144,9.40481784139414,0.0,2.5399422290608862E11,1554320.8378044947
145,9.412389247574204,0.0,2.584611386601366E11,1584068.634091221
146,9.419828477883634,0.0,2.6292657967362552E11,1613801.128353878
147,9.427140297452944,0.0,2.673907131511845E11,1643521.8970171444
148,9.434329535601528,0.0,2.7185389869872055E11,1673237.0277938915
149,9.441400021437357,0.0,2.7631601654479083E11,1702945.546536808
150,9.448354920258193,0.0,2.807766356507887E11,1732642.9019151358
151,9.455198594655695,0.0,2.8523620384952997E11,1762332.3785313761
152,9.461934949280272,0.0,2.8969500695587E11,1792018.2871383103
153,9.468567600085834,0.0,2.941532615272777E11,1821702.1434224567
154,9.47509951586732,0.0,2.9861085511746497E11,1851382.277312618
155,9.48153360417817,0.0,3.030677233949058E11,1881056.997061122
156,9.48787262406249,0.0,3.075237865764544E11,1910725.4796166325
157,9.494119264866807,0.0,3.119789997131754E11,1940386.7410240343
158,9.500276383406506,0.0,3.1643352313316296E11,1970043.0881703377
159,9.506346483529647,0.0,3.208873476370952E11,1999695.3028463703
160,9.512331921677013,0.0,3.2534043146705664E11,2029342.4976385129
161,9.519408088647994,0.0,3.3068478491437946E11,2058982.6615863026
162,9.526369339865456,0.0,3.3602800384649585E11,2088615.5128543198
163,9.53321923385452,0.0,3.413700169059243E11,2118240.8540291092
164,9.53996208878377,0.0,3.46711491333857E11,2147864.548411591
165,9.5465987345722,0.0,3.520504381914722E11,2177468.8050319864
166,9.553128818665005,0.0,3.5738389731150323E11,2207023.1821029205
167,9.558492355950449,0.0,3.618249608511024E11,2236572.1648197994
168,9.563792652701519,0.0,3.662678730052669E11,2266141.063121981
169,9.569031584969956,0.0,3.707129560906828E11,2295728.852432907
170,9.574208860671595,0.0,3.751587204533947E11,2325323.226186211
171,9.57625997644773,0.0,3.7693473841725055E11,2354912.359281592
172,8.857050296478207,0.0,7.195412328946405E10,419517.32039764104
173,8.893481254856237,0.0,7.825042135730106E10,449491.46953900385
174,8.927076634023953,0.0,8.454386560601921E10,479450.477891492
175,8.958246717914825,0.0,9.08347906735751E10,509394.84744301473
176,8.987325992919377,0.0,9.712511073904173E10,539336.5645340667
177,9.014590535169244,0.0,1.0341799161367967E11,569294.1465276597
178,9.04024630917811,0.0,1.0971143661507846E11,599257.8405999498
179,9.064464306964009,0.0,1.1600318851931818E11,629215.4390838114
180,9.084188794887154,0.0,1.2139322140672221E11,659150.6655045238
181,9.103054065271646,0.0,1.267826215746263E11,689077.8595341125
182,9.121137961641097,0.0,1.321732728896787E11,718997.4038230284
183,9.138496653281981,0.0,1.375632270006884E11,748908.4158657977
184,9.15517602658743,0.0,1.4294920581909433E11,778800.1347995042
185,9.171232481031813,0.0,1.4833314988573932E11,808676.7412935861
186,9.186719808846021,0.0,1.537182969149452E11,838569.259854082
187,9.201672650893943,0.0,1.591030198350868E11,868467.73720256
188,9.216126346232297,0.0,1.644872099721644E11,898361.5643332677
189,9.230112622954898,0.0,1.6987068044033096E11,928239.4171268666
190,9.243659474781026,0.0,1.7525293231558237E11,958095.503781994
191,9.256793828967226,0.0,1.8063406774846188E11,987936.0402381291
192,9.269540932459911,0.0,1.8601449164056158E11,1017769.6109502558
193,9.27988207897282,0.0,1.904969109502466E11,1047608.1543480197
194,9.289982928133492,0.0,1.9497943071022818E11,1077457.2219964394
195,9.299853527971853,0.0,1.9946165068894363E11,1107311.3319770026
196,9.309503531609497,0.0,2.0394329100060858E11,1137161.507279643
197,9.318940967631853,0.0,2.084235888060373E11,1166999.5551805669
198,9.328175183000809,0.0,2.1290266379377692E11,1196826.686874543
199,9.337215421067645,0.0,2.173808804216526E11,1226647.6726829836
200,9.34607007816535,0.0,2.2185846828983286E11,1256464.6229033982
201,9.354746057028162,0.0,2.2633514654462173E11,1286274.5280897096
202,9.363250491612524,0.0,2.3081096822154657E11,1316079.2036900143
203,9.371590531744893,0.0,2.3528621977379114E11,1345880.6475915902
204,9.379772350101454,0.0,2.397608776187868E11,1375677.0418100602
205,9.387801321283664,0.0,2.4423466215667303E11,1405467.6016363832
206,9.395682822759298,0.0,2.4870745872767642E11,1435250.2930956865
207,9.403421918978228,0.0,2.5317913675249582E11,1465025.8841862043
208,9.41102347136717,0.0,2.576496017881595E11,1494795.4155202655
209,9.418492524926714,0.0,2.6211902111908163E11,1524561.6589757379
210,9.425833278135404,0.0,2.6658720340282626E11,1554320.8378044947
211,9.43304998291053,0.0,2.7105411915687424E11,1584068.634091221
212,9.44014639996224,0.0,2.7551956017036316E11,1613801.128353878
213,9.447126694345172,0.0,2.799836936479222E11,1643521.8970171444
214,9.453995121388253,0.0,2.844468791954582E11,1673237.0277938915
215,9.460755007221927,0.0,2.889089970415285E11,1702945.546536808
216,9.467409065835305,0.0,2.9336961614752637E11,1732642.9019151358
217,9.473961178070386,0.0,2.9782918434626764E11,1762332.3785313761
218,9.480414807997565,0.0,3.0228798745260767E11,1792018.2871383103
219,9.486773162592822,0.0,3.067462420240154E11,1821702.1434224567
220,9.49303884585736,0.0,3.1120383561420264E11,1851382.277312618
221,9.499214418552015,0.0,3.156607038916435E11,1881056.997061122
222,9.505302313394225,0.0,3.201167670731921E11,1910725.4796166325
223,9.511304909668013,0.0,3.245719802099131E11,1940386.7410240343
224,9.517224760451324,0.0,3.2902650362990063E11,1970043.0881703377
225,9.523064091629806,0.0,3.334803281338329E11,1999695.3028463703
226,9.528824998299983,0.0,3.379334119637943E11,2029342.4976385129
227,9.535639531984604,0.0,3.432777654111171E11,2058982.6615863026
228,9.542347374875462,0.0,3.486209843432335E11,2088615.5128543198
229,9.548951706852893,0.0,3.53962997402662E11,2118240.8540291092
230,9.555456457908882,0.0,3.5930447183059467E11,2147864.548411591
231,9.56186220797371,0.0,3.646434186882099E11,2177468.8050319864
232,9.568168404534099,0.0,3.699768778082409E11,2207023.1821029205
233,9.573350466748735,0.0,3.744179413478401E11,2236572.1648197994
234,9.578473543302298,0.0,3.788608535020046E11,2266141.063121981
235,9.583539349965225,0.0,3.833059365874205E11,2295728.852432907
236,9.588547510420042,0.0,3.877517009501324E11,2325323.226186211
237,9.590532164247712,0.0,3.895277189139882E11,2354912.359281592
238,8.962560120274233,0.0,9.174145567249738E10,479450.477891492
239,8.9953300710174,0.0,9.893173236696776E10,509394.84744301473
240,9.025796720489325,0.0,1.0612123542439809E11,539336.5645340667
241,9.05427488141558,0.0,1.1331319619878612E11,569294.1465276597
242,9.077749660278144,0.0,1.196066412001849E11,599257.8405999498
243,9.100014527954219,0.0,1.2589839310442462E11,629215.4390838114
244,9.118220762327672,0.0,1.3128842599182866E11,659150.6655045238
245,9.1356923641033,0.0,1.3667782615973274E11,689077.8595341125
246,9.152492008890125,0.0,1.4206847747478516E11,718997.4038230284
247,9.168663875023155,0.0,1.4745843158579486E11,748908.4158657977
248,9.18424380842437,0.0,1.528444104042008E11,778800.1347995042
249,9.199278542322078,0.0,1.582283544708458E11,808676.7412935861
250,9.213813353722182,0.0,1.6361350150005167E11,838569.259854082
251,9.227876340743226,0.0,1.6899822442019327E11,868467.73720256
252,9.241496870662665,0.0,1.7438241455727087E11,898361.5643332677
253,9.254701446468573,0.0,1.7976588502543744E11,928239.4171268666
254,9.26751350124899,0.0,1.8514813690068884E11,958095.503781994
255,9.279955850042938,0.0,1.9052927233356836E11,987936.0402381291
256,9.292050059023886,0.0,1.9590969622566806E11,1017769.6109502558
257,9.301874747045092,0.0,2.003921155353531E11,1047608.1543480197
258,9.311482299725345,0.0,2.0487463529533466E11,1077457.2219964394
259,9.32088128201179,0.0,2.093568552740501E11,1107311.3319770026
260,9.330079975987545,0.0,2.1383849558571506E11,1137161.507279643
261,9.33908519802107,0.0,2.1831879339114377E11,1166999.5551805669
262,9.347905097237831,0.0,2.227978683788834E11,1196826.686874543
263,9.35654779598947,0.0,2.2727608500675906E11,1226647.6726829836
264,9.365020672491854,0.0,2.3175367287493933E11,1256464.6229033982
265,9.373329733106544,0.0,2.362303511297282E11,1286274.5280897096
266,9.381481256290407,0.0,2.4070617280665305E11,1316079.2036900143
267,9.389481583408585,0.0,2.451814243588976E11,1345880.6475915902
268,9.397336161929248,0.0,2.4965608220389328E11,1375677.0418100602
269,9.405049711154213,0.0,2.541298667417795E11,1405467.6016363832
270,9.41262698732236,0.0,2.586026633127829E11,1435250.2930956865
271,9.420072477478385,0.0,2.630743413376023E11,1465025.8841862043
272,9.427390502426064,0.0,2.6754480637326596E11,1494795.4155202655
273,9.434585586858828,0.0,2.720142257041881E11,1524561.6589757379
274,9.441661465046394,0.0,2.764824079879327E11,1554320.8378044947
275,9.448621945141003,0.0,2.8094932374198065E11,1584068.634091221
276,9.455470382269773,0.0,2.8541476475546967E11,1613801.128353878
277,9.462210540987515,0.0,2.898788982330287E11,1643521.8970171444
278,9.468846291753106,0.0,2.943420837805647E11,1673237.0277938915
279,9.475380624389235,0.0,2.98804201626635E11,1702945.546536808
280,9.481815951530411,0.0,3.032648207326329E11,1732642.9019151358
281,9.488155828160227,0.0,3.0772438893137415E11,1762332.3785313761
282,9.494403420189668,0.0,3.121831920377142E11,1792018.2871383103
283,9.500561657428165,0.0,3.166414466091219E11,1821702.1434224567
284,9.506632897119367,0.0,3.2109904019930914E11,1851382.277312618
285,9.512619464777577,0.0,3.2555590847675E11,1881056.997061122
286,9.518523571330983,0.0,3.300119716582986E11,1910725.4796166325
287,9.524347384793906,0.0,3.344671847950196E11,1940386.7410240343
288,9.530093250321285,0.0,3.3892170821500714E11,1970043.0881703377
289,9.535763203583024,0.0,3.433755327189394E11,1999695.3028463703
290,9.541359160575649,0.0,3.478286165489008E11,2029342.4976385129
291,9.547981301383444,0.0,3.5317296999622363E11,2058982.6615863026
292,9.554502607759158,0.0,3.5851618892834E11,2088615.5128543198
293,9.56092599857051,0.0,3.638582019877685E11,2118240.8540291092
294,9.567255134154976,0.0,3.691996764157012E11,2147864.548411591
295,9.573490425296594,0.0,3.745386232733164E11,2177468.8050319864
296,9.579631186207717,0.0,3.798720823933474E11,2207023.1821029205
297,9.584679043431683,0.0,3.843131459329466E11,2236572.1648197994
298,9.589670967376167,0.0,3.887560580871111E11,2266141.063121981
299,9.594608561683485,0.0,3.93201141172527E11,2295728.852432907
300,9.599491393815187,0.0,3.976469055352389E11,2325323.226186211
301,9.601426770601453,0.0,3.994229234990947E11,2354912.359281592
302,9.047341979603583,0.0,1.1151866973790901E11,539336.5645340667
303,9.074483980905029,0.0,1.1871063051229704E11,569294.1465276597
304,9.096918516896565,0.0,1.2500407551369583E11,599257.8405999498
305,9.118245245097745,0.0,1.3129582741793555E11,629215.4390838114
306,9.13571789186288,0.0,1.3668586030533958E11,659150.6655045238
307,9.152512743575707,0.0,1.4207526047324365E11,689077.8595341125
308,9.168685905127747,0.0,1.4746591178829605E11,718997.4038230284
309,9.184276356990264,0.0,1.5285586589930576E11,748908.4158657977
310,9.199315567819525,0.0,1.582418447177117E11,778800.1347995042
311,9.213845967738965,0.0,1.636257887843567E11,808676.7412935861
312,9.227909005431194,0.0,1.6901093581356256E11,838569.259854082
313,9.24152985362119,0.0,1.7439565873370416E11,868467.73720256
314,9.254735180225818,0.0,1.7977984887078177E11,898361.5643332677
315,9.267549112579584,0.0,1.8516331933894833E11,928239.4171268666
316,9.279993000257335,0.0,1.9054557121419974E11,958095.503781994
317,9.29208776620937,0.0,1.9592670664707925E11,987936.0402381291
318,9.303853273105348,0.0,2.0130713053917896E11,1017769.6109502558
319,9.313417421281535,0.0,2.0578954984886398E11,1047608.1543480197
320,9.3227756829979,0.0,2.1027206960884555E11,1077457.2219964394
321,9.331935930913954,0.0,2.14754289587561E11,1107311.3319770026
322,9.340905804426404,0.0,2.1923592989922595E11,1137161.507279643
323,9.349691551510638,0.0,2.2371622770465466E11,1166999.5551805669
324,9.358300754697058,0.0,2.281953026923943E11,1196826.686874543
325,9.366741003778252,0.0,2.3267351932026996E11,1226647.6726829836
326,9.375019192332392,0.0,2.3715110718845023E11,1256464.6229033982
327,9.3831409002721,0.0,2.416277854432391E11,1286274.5280897096
328,9.391111997057843,0.0,2.4610360712016394E11,1316079.2036900143
329,9.398938436002666,0.0,2.505788586724085E11,1345880.6475915902
330,9.40662531636376,0.0,2.5505351651740417E11,1375677.0418100602
331,9.414177042627578,0.0,2.595273010552904E11,1405467.6016363832
332,9.421598071532495,0.0,2.640000976262938E11,1435250.2930956865
333,9.428892611168163,0.0,2.684717756511132E11,1465025.8841862043
334,9.436064720526531,0.0,2.7294224068677686E11,1494795.4155202655
335,9.443118671335295,0.0,2.77411660017699E11,1524561.6589757379
336,9.45005797234018,0.0,2.8187984230144354E11,1554320.8378044947
337,9.456886215412009,0.0,2.863467580554915E11,1584068.634091221
338,9.463606557920244,0.0,2.908121990689805E11,1613801.128353878
339,9.470222568212217,0.0,2.9527633254653955E11,1643521.8970171444
340,9.47673792761425,0.0,2.9973951809407556E11,1673237.0277938915
341,9.483155461035174,0.0,3.042016359401459E11,1702945.546536808
342,9.489477433502433,0.0,3.0866225504614374E11,1732642.9019151358
343,9.495707238958733,0.0,3.13121823244885E11,1762332.3785313761
344,9.50184789593184,0.0,3.1758062635122504E11,1792018.2871383103
345,9.507902197106937,0.0,3.2203888092263275E11,1821702.1434224567
346,9.513872377825784,0.0,3.2649647451282E11,1851382.277312618
347,9.51976064717106,0.0,3.3095334279026086E11,1881056.997061122
348,9.52556910616542,0.0,3.3540940597180945E11,1910725.4796166325
349,9.531299817956794,0.0,3.3986461910853046E11,1940386.7410240343
350,9.536955024170208,0.0,3.44319142528518E11,1970043.0881703377
351,9.542536665794735,0.0,3.4877296703245026E11,1999695.3028463703
352,9.548046569598895,0.0,3.532260508624117E11,2029342.4976385129
353,9.554568277414996,0.0,3.585704043097345E11,2058982.6615863026
354,9.560992143253042,0.0,3.639136232418509E11,2088615.5128543198
355,9.567320955450256,0.0,3.6925563630127936E11,2118240.8540291092
356,9.573558238778368,0.0,3.7459711072921204E11,2147864.548411591
357,9.579704320572251,0.0,3.799360575868273E11,2177468.8050319864
358,9.585758450031806,0.0,3.852695167068583E11,2207023.1821029205
359,9.59073599298936,0.0,3.8971058024645746E11,2236572.1648197994
360,9.595659169905808,0.0,3.9415349240062195E11,2266141.063121981
361,9.6005295277984,0.0,3.9859857548603784E11,2295728.852432907
362,9.60534660668942,0.0,4.0304433984874976E11,2325323.226186211
363,9.607256122454668,0.0,4.048203578126056E11,2354912.359281592
364,7.2553949199856795,0.0,1.8005224146148067E9,60017.41827899318
365,7.431513251089486,0.0,2.7009531977754464E9,90031.76965515583
366,7.556494887363408,0.0,3.6016278320531077E9,120054.26041116676
367,7.653352779957425,0.0,4.5014956396853075E9,150049.85612842845
368,7.857411897289385,0.0,7.201387450818993E9,120054.26041116676
369,7.954294694027889,0.0,9.00117244063884E9,150049.85612842845
370,8.033334715544976,0.0,1.0797897262706846E10,179987.4934404076
371,8.10014664100274,0.0,1.2593637568887842E10,209914.30144273318
372,8.158044066112204,0.0,1.4389598619332247E10,239838.09441446437
373,8.209115417865995,0.0,1.6185275209155033E10,269762.05424806324
374,8.254831580291519,0.0,1.7981929952151577E10,299704.2790879159
375,8.209390700196387,0.0,1.619553768726395E10,179987.4934404076
376,8.27621891190451,0.0,1.8889638943668972E10,209914.30144273318
377,8.334141935482934,0.0,2.1584736175218426E10,239838.09441446437
378,8.385242626457405,0.0,2.4279933472534115E10,269762.05424806324
379,8.430963070265676,0.0,2.6975405820518734E10,299704.2790879159
380,8.47231431501104,0.0,2.967011827755042E10,329624.46732415754
381,8.510094024329014,0.0,3.236674519224326E10,359568.09364148567
382,8.54487654204873,0.0,3.506562508933908E10,389545.38160878886
383,8.577071989601317,0.0,3.7763919955698235E10,419519.53075015167
384,8.607026796735497,0.0,4.0460561808843056E10,449478.5391026398
385,8.44532684596684,0.0,2.7882504348892635E10,239838.09441446437
386,8.498005358867637,0.0,3.147823331106559E10,269762.05424806324
387,8.544973054150404,0.0,3.507341850402918E10,299704.2790879159
388,8.587334727895907,0.0,3.866694121136659E10,329624.46732415754
389,8.625959931305474,0.0,4.226346152276427E10,359568.09364148567
390,8.66145033576532,0.0,4.586226592892953E10,389545.38160878886
391,8.69424803189686,0.0,4.94599007740944E10,419519.53075015167
392,8.724723694111908,0.0,5.3055319814474396E10,449478.5391026398
393,8.753186779478241,0.0,5.6648974678367714E10,479422.90865416254
394,8.779899067103262,0.0,6.0242692072457184E10,509364.62574521446
395,8.805077604751062,0.0,6.383853860752618E10,539322.2077388075
396,8.828878887847049,0.0,6.743482675215083E10,569285.9018110976
397,8.8514337589197,0.0,7.102956290979688E10,599243.5002949592
398,8.635202549780274,0.0,4.31725492010442E10,299704.2790879159
399,8.678193397696203,0.0,4.766488930089417E10,329624.46732415754
400,8.717340725370521,0.0,5.216100612600003E10,359568.09364148567
401,8.753268187324867,0.0,5.6659594450446075E10,389545.38160878886
402,8.78643808625409,0.0,6.1156609094732796E10,419519.53075015167
403,8.817236495168098,0.0,6.565107479989041E10,449478.5391026398
404,8.845982022172281,0.0,7.014349467115979E10,479422.90865416254
405,8.872942187671711,0.0,7.463586918023076E10,509364.62574521446
406,8.89833968079016,0.0,7.913071977661188E10,539322.2077388075
407,8.922335917932873,0.0,8.362601073989171E10,569285.9018110976
408,8.945066432685465,0.0,8.81194788174638E10,599243.5002949592
409,8.966655923914624,0.0,9.261075719187112E10,629178.7267156716
410,8.987219537823993,0.0,9.710130613705435E10,659105.9207452603
411,9.006857251728764,0.0,1.015927713153088E11,689025.4650341762
412,9.025643416692148,0.0,1.0608378172417276E11,718936.4770769455
413,9.043637128859283,0.0,1.1057137885665369E11,748828.196010652
414,9.060908249047792,0.0,1.1505721690433197E11,778704.8025047339
415,9.077522701584083,0.0,1.1954415202179677E11,808597.3210652298
416,9.09352459889648,0.0,1.2403100159439394E11,838495.7984137078
417,9.108956644859543,0.0,1.2851751334009377E11,868389.6255444156
418,9.12385659026756,0.0,1.3300325689912848E11,898267.4783380145
419,9.138257984413304,0.0,1.3748764907447995E11,928123.5649931418
420,9.152193570954061,0.0,1.419708844645174E11,957964.1014492769
421,9.165694006972107,0.0,1.4645349456417126E11,987797.6721614036
422,9.178786842117088,0.0,1.509359138738563E11,1017636.2155591676
