Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
343,6.3E-4,4.0E-4
344,6.3E-4,4.0E-4
345,4.5000000000000004E-4,4.0E-4
346,4.5000000000000004E-4,4.0E-4
347,4.5000000000000004E-4,4.0E-4
348,4.5000000000000004E-4,4.0E-4
349,4.5000000000000004E-4,4.0E-4
350,4.5000000000000004E-4,4.0E-4
351,4.5000000000000004E-4,4.0E-4
352,4.5000000000000004E-4,4.0E-4
353,4.5000000000000004E-4,4.0E-4
354,4.5000000000000004E-4,4.0E-4
355,4.5000000000000004E-4,4.0E-4
356,4.5000000000000004E-4,4.0E-4
357,4.5000000000000004E-4,4.0E-4
358,4.5000000000000004E-4,4.0E-4
359,4.5000000000000004E-4,4.0E-4
360,4.5000000000000004E-4,4.0E-4
361,7.2E-4,5.0E-4
362,7.2E-4,5.0E-4
363,7.2E-4,5.0E-4
364,7.2E-4,5.0E-4
365,7.2E-4,5.0E-4
366,7.2E-4,5.0E-4
367,7.2E-4,5.0E-4
368,7.2E-4,5.0E-4
369,7.2E-4,5.0E-4
370,7.2E-4,5.0E-4
371,7.2E-4,5.0E-4
372,7.2E-4,5.0E-4
373,7.2E-4,5.0E-4
374,7.2E-4,5.0E-4
375,7.2E-4,5.0E-4
376,7.2E-4,5.0E-4
377,7.2E-4,5.0E-4
378,7.2E-4,5.0E-4
379,6.3E-4,4.0E-4
380,6.3E-4,4.0E-4
381,6.3E-4,4.0E-4
382,6.3E-4,4.0E-4
383,6.3E-4,4.0E-4
384,6.3E-4,4.0E-4
385,6.3E-4,4.0E-4
386,6.3E-4,4.0E-4
387,6.3E-4,4.0E-4
388,6.3E-4,4.0E-4
389,6.3E-4,4.0E-4
390,6.3E-4,4.0E-4
391,6.3E-4,4.0E-4
392,7.2E-4,5.0E-4
393,7.2E-4,5.0E-4
394,7.2E-4,5.0E-4
395,7.2E-4,5.0E-4
396,7.2E-4,5.0E-4
397,7.2E-4,5.0E-4
398,7.2E-4,5.0E-4
399,7.2E-4,5.0E-4
400,4.5E-5,4.0E-5
401,4.5E-5,4.0E-5
402,9.0E-5,8.0E-5
403,9.0E-5,8.0E-5
404,9.0E-5,8.0E-5
405,0.0018000000000000002,0.005
406,0.0018000000000000002,0.005
407,0.0018000000000000002,0.005
408,0.0018000000000000002,0.005
409,0.0018000000000000002,0.005
410,0.0018000000000000002,0.005
411,3.6E-4,2.0E-4
412,3.6E-4,2.0E-4
413,0.0027,0.0015
414,0.0027,0.0015
415,0.0027,0.0015
416,4.5E-5,4.0E-5
417,4.5E-5,4.0E-5
418,4.5E-5,4.0E-5
419,4.5E-5,4.0E-5
420,0.0027,0.0015
421,0.0027,0.0015
422,0.0027,0.0015
423,0.0027,0.0015
424,0.0027,0.0015
425,1.8E-4,3.5E-4
426,1.8E-4,3.5E-4
427,1.8E-4,3.5E-4
428,0.0027,0.001
429,0.0027,0.001
430,0.0027,0.001
431,0.0027,0.001
432,0.0027,0.001
433,0.003888,7.700000000000001E-4
434,0.003888,7.700000000000001E-4
435,0.003888,7.700000000000001E-4
436,0.003888,7.700000000000001E-4
437,0.003888,7.700000000000001E-4
438,0.003888,7.700000000000001E-4
439,0.003780000000000001,2.5E-4
440,0.003780000000000001,2.5E-4
441,0.003780000000000001,2.5E-4
442,0.003780000000000001,2.5E-4
443,0.003780000000000001,2.5E-4
444,0.003780000000000001,2.5E-4
445,0.003780000000000001,2.5E-4
446,1.8E-4,1.0E-4
447,1.8E-4,1.0E-4
448,1.8E-4,1.0E-4
449,8.099999999999999E-5,7.000000000000001E-5
450,8.099999999999999E-5,7.000000000000001E-5
451,0.00135,0.001
452,0.00135,0.001
453,0.00135,0.001
454,0.00135,0.001
455,0.00135,0.001
456,0.00135,0.001
457,9.0E-5,1.5E-4
458,9.0E-5,1.5E-4
459,9.0E-5,1.5E-4
460,0.0018000000000000002,0.001
461,0.0018000000000000002,0.001
462,2.2500000000000002E-4,2.5E-4
463,2.2500000000000002E-4,2.5E-4
464,2.2500000000000002E-4,2.5E-4
465,4.5E-5,4.0E-5
466,4.5E-5,4.0E-5
467,2.3400000000000002E-4,3.0E-4
468,2.3400000000000002E-4,3.0E-4
469,2.3400000000000002E-4,3.0E-4
470,9.000000000000001E-4,7.5E-4
471,9.000000000000001E-4,7.5E-4
472,9.000000000000001E-4,7.5E-4
473,9.000000000000001E-4,7.5E-4
474,4.5E-5,4.0E-5
475,4.5E-5,4.0E-5
476,4.5E-5,4.0E-5
477,4.5E-5,4.0E-5
478,3.42E-4,2.8000000000000003E-4
479,3.42E-4,2.8000000000000003E-4
480,3.42E-4,2.8000000000000003E-4
481,6.3E-4,3.0E-4
482,6.3E-4,3.0E-4
483,6.3E-4,3.0E-4
484,6.3E-4,3.0E-4
485,6.3E-4,3.0E-4
486,0.0045000000000000005,0.001
487,0.0045000000000000005,0.001
488,4.5000000000000004E-4,4.5000000000000004E-4
489,4.5000000000000004E-4,4.5000000000000004E-4
490,4.5000000000000004E-4,4.5000000000000004E-4
491,4.5000000000000004E-4,4.5000000000000004E-4
492,9.0E-6,1.0E-5
493,9.0E-6,1.0E-5
494,9.0E-6,1.0E-5
495,6.3E-4,4.5000000000000004E-4
496,6.3E-4,4.5000000000000004E-4
497,6.3E-4,4.5000000000000004E-4
498,6.3E-4,4.5000000000000004E-4
499,6.3E-4,4.5000000000000004E-4
500,6.3E-4,4.5000000000000004E-4
501,6.3E-4,4.5000000000000004E-4
502,6.3E-4,4.5000000000000004E-4
503,6.3E-4,4.5000000000000004E-4
504,6.3E-4,4.5000000000000004E-4
505,4.5E-5,4.0E-5
506,4.5E-5,4.0E-5
507,4.5E-5,4.0E-5
508,4.5E-5,4.0E-5
509,4.5E-5,4.0E-5
510,4.5000000000000004E-4,6.500000000000001E-4
511,4.5000000000000004E-4,6.500000000000001E-4
512,4.5000000000000004E-4,6.500000000000001E-4
513,4.5000000000000004E-4,6.500000000000001E-4
514,0.0016099999999999999,6.500000000000001E-4
515,0.0016099999999999999,6.500000000000001E-4
516,0.0016099999999999999,6.500000000000001E-4
517,0.0016099999999999999,6.500000000000001E-4
518,0.0016099999999999999,6.500000000000001E-4
519,0.00182,0.0014
520,0.00182,0.0014
521,0.00182,0.0014
522,0.00224,7.5E-4
523,0.00224,7.5E-4
524,4.5E-5,4.0E-5
525,4.5E-5,4.0E-5
526,9.000000000000001E-4,5.0E-4
527,9.000000000000001E-4,5.0E-4
528,9.000000000000001E-4,5.0E-4
529,9.000000000000001E-4,5.0E-4
530,9.000000000000001E-4,5.0E-4
531,4.95E-4,3.5999999999999997E-4
532,4.95E-4,3.5999999999999997E-4
533,4.95E-4,3.5999999999999997E-4
534,4.95E-4,3.5999999999999997E-4
535,1.35E-4,5.0E-5
536,1.35E-4,5.0E-5
537,1.35E-4,5.0E-5
538,1.35E-4,5.0E-5
539,4.5E-5,4.0E-5
540,4.5E-5,4.0E-5
541,4.5E-5,4.0E-5
542,9.0E-5,8.0E-5
543,9.0E-5,8.0E-5
544,9.0E-5,8.0E-5
545,9.0E-5,8.0E-5
546,9.0E-5,8.0E-5
547,9.0E-5,8.0E-5
548,9.0E-5,8.0E-5
549,4.95E-4,1.5E-4
550,4.95E-4,1.5E-4
551,4.95E-4,1.5E-4
552,4.95E-4,1.5E-4
553,0.0018000000000000002,0.001
554,0.0018000000000000002,0.001
555,0.0018000000000000002,0.001
556,0.0018000000000000002,0.001
557,9.000000000000001E-4,3.0E-4
558,9.000000000000001E-4,3.0E-4
559,9.000000000000001E-4,3.0E-4
560,9.000000000000001E-4,3.0E-4
561,9.000000000000001E-4,3.0E-4
562,3.15E-4,7.4E-4
563,3.15E-4,7.4E-4
564,2.7E-4,2.0E-4
565,2.7E-4,2.0E-4
566,2.7E-4,2.0E-4
567,2.7E-4,2.0E-4
568,2.7E-4,2.0E-4
569,2.7E-4,2.0E-4
570,4.5E-5,4.0E-5
571,4.5E-5,4.0E-5
572,4.5E-5,4.0E-5
573,4.5E-5,4.0E-5
574,1.89E-4,6.0E-5
575,1.89E-4,6.0E-5
576,1.89E-4,6.0E-5
577,1.89E-4,6.0E-5
578,1.89E-4,6.0E-5
