Section Index,Grid Node Index,Node Fraction,Scaled Node Fraction
16,18908,0.14118321156990624,0.11282665512222526
16,18909,0.36143791484380267,0.14852937046370504
16,18910,0.02339585895581915,0.012022898425325156
17,18708,0.5133926598645419,0.16187640239739617
17,18709,0.4766655266864575,0.12389562715199298
17,18908,0.009958188526906846,0.005109315827601641
18,18508,0.15025343099499594,0.07254894302765333
18,18509,0.07441506113878991,0.044002399658552474
18,18707,0.017826508598374462,0.009409312305305267
18,18708,0.6935355744082949,0.22024545219199004
18,18709,0.06397418806959544,0.016747552001709978
19,9820,0.055297546796315544,0.05025823699696285
19,9821,0.22172223771121838,0.3043669468607321
19,10019,0.08666545341695679,0.05881357974263812
19,10020,0.4916687535103263,0.4294528173896015
19,10021,0.14464200459934953,0.19402396667617258
20,9821,0.006370906278471428,0.009520506542817605
20,9822,0.004144121374243704,0.0062742788520721016
20,10020,0.13390995552325283,0.1273287037454687
20,10021,0.4951978897311595,0.7231199395525251
20,10022,0.16666901955816504,0.2528131588904221
20,10220,0.11870018872854288,0.15066806344243375
20,10221,0.07507016065458755,0.08470139497840372
21,10021,0.03174514165225258,0.04620380575884761
21,10022,0.2798003201219348,0.4230210022269272
21,10023,0.018647446232175593,0.028162525083135888
21,10220,0.008967604581946067,0.011345278866647374
21,10221,0.4429095914999124,0.49808932179705073
21,10222,0.2176700514846527,0.3276859069802995
21,10223,2.985577254262856E-4,4.5058982525473195E-4
22,10023,0.006907640488433849,0.01036695074499638
22,10221,0.0807340810416708,0.09022318059437398
22,10222,0.4348598685701532,0.6505452269915939
22,10223,0.30949839446402794,0.46417372006648777
22,10421,0.046488612116640696,0.06931255439705454
22,10422,0.12148555021632564,0.1810081920866555
23,10222,0.0071231346228612475,0.010685437710052524
23,10223,0.24658769727591748,0.370839983617779
23,10224,0.07684009194443253,0.11554034001040049
23,10422,0.35163193599474,0.5253574769289109
23,10423,0.30018193037538704,0.4506293757588988
23,10424,0.01772027969114005,0.01825222034300203
24,10224,0.008148730323288776,0.012067767470880774
24,10422,0.03442687358727542,0.05065886008900731
24,10423,0.3715676332925392,0.549368876913145
24,10424,0.4277815179694529,0.4339686633060261
24,10425,0.008371214704782495,0.006774175626418712
24,10622,0.01023923186344345,0.015154507468064793
24,10623,0.13946835813375624,0.15865115123898627
25,10424,0.2252044410414495,0.24135570331055703
25,10425,0.28060367928563934,0.23988638194383502
25,10623,0.07382378524932015,0.08871725811713693
25,10624,0.3890864504633164,0.3139144042198329
25,10625,0.031324004857282005,0.021131612694304955
26,10425,0.09319016344741408,0.08506835415931868
26,10426,0.04729706709804644,0.055011817910805706
26,10624,0.15710140117907104,0.13534147938823524
26,10625,0.5075839855452504,0.36563603858712607
26,10626,0.12033154342709049,0.1538048252737507
26,10824,0.02282048570215342,0.03378169332737082
26,10825,0.05172742679947692,0.054669544098238106
27,10425,0.07109450524756113,0.06165239739450753
27,10426,0.021584517966096062,0.023849545987294246
27,10624,0.15586705657471478,0.1275619562473325
27,10625,0.5216162284747425,0.356950630966311
27,10626,0.11901714225473706,0.14451601164307548
27,10824,0.051603477118322395,0.07256905593984804
27,10825,0.05927348841080604,0.05951151970058601
28,10424,0.21570320225955592,0.24396486978421456
28,10425,0.222191920720346,0.2004613183703576
28,10623,0.10029905179256167,0.12720339859971938
28,10624,0.41928847608168096,0.35699994490439285
28,10625,0.04253447024198523,0.03028213377531317
29,10625,0.05318120271159128,0.04571016750699666
29,10626,0.37072788027738945,0.5654045458820592
29,10627,0.12523948391376036,0.24881310125238704
29,10825,0.19840117905960183,0.25019717435782496
29,10826,0.2498968272775513,0.28611797742546013
29,10827,0.002530528693230054,0.004194115358830461
30,10627,0.11263659359618991,0.22269020923558916
30,10628,0.022097561021790085,0.04365157307786616
30,10826,0.22494924812158598,0.25630589222567807
30,10827,0.4536934294849388,0.7483094600626342
30,10828,0.1017187715998211,0.20076027399333635
30,11026,0.03418948826984011,0.06313325638570716
30,11027,0.05077552258444562,0.06743458869163743
31,10827,0.05091867059121851,0.0832364301743647
31,10828,0.3695741103491503,0.7229293499400488
31,10829,0.12778217463779648,0.24997243966892224
31,11027,0.19725637271712318,0.25964322667772743
31,11028,0.2521733914171749,0.32253587547345247
31,11029,0.002285889329662552,0.004391320750055993
32,10829,0.11161555883046012,0.2191355088026805
32,10830,0.024676041019346805,0.037636320860907235
